Date,Open,High,Low,Close,Volume
08/10/2022,"125.05","126.28","125.00","125.90","3,370,312"
08/09/2022,"124.49","124.90","123.70","124.21","2,421,321"
08/08/2022,"126.22","126.52","124.50","124.60","5,552,073"
08/05/2022,"126.50","126.76","125.79","126.47","2,592,866"
08/04/2022,"126.33","126.53","125.54","126.44","6,142,842"
08/03/2022,"124.74","126.94","124.63","126.27","3,685,008"
08/02/2022,"123.48","124.93","123.48","124.23","5,088,098"
07/29/2022,"123.93","125.68","123.93","124.86","4,168,820"
07/28/2022,"123.10","124.00","121.83","123.75","4,712,231"
07/27/2022,"122.16","123.33","121.73","122.65","4,460,742"
07/26/2022,"122.19","123.47","121.43","121.85","7,420,386"
07/25/2022,"123.00","123.94","122.55","123.10","6,288,740"
07/22/2022,"123.89","124.67","123.19","123.62","9,930,514"
07/21/2022,"124.08","124.44","122.93","124.08","9,400,321"
07/20/2022,"123.33","123.91","122.51","123.70","4,032,805"
07/19/2022,"122.05","123.72","121.55","123.28","5,894,632"
07/18/2022,"119.77","122.13","119.60","120.80","5,602,140"
07/15/2022,"120.16","120.55","118.24","118.63","5,066,414"
07/14/2022,"125.25","125.58","119.20","119.24","8,553,781"
07/13/2022,"126.87","127.27","124.71","126.35","2,990,073"
07/12/2022,"126.92","128.76","126.50","127.67","4,371,536"
07/11/2022,"126.98","127.54","126.58","127.37","5,152,605"
07/08/2022,"127.55","128.37","127.11","127.56","3,725,031"
07/07/2022,"126.09","128.26","126.04","127.48","3,628,955"
07/06/2022,"124.69","125.67","124.25","125.54","2,721,441"
07/05/2022,"124.84","125.63","123.21","124.87","3,750,951"
07/04/2022,"124.94","126.64","124.84","125.69","1,111,229"
06/30/2022,"124.50","124.91","123.33","124.64","2,576,558"
06/29/2022,"125.34","126.63","125.13","126.04","2,193,964"
06/28/2022,"125.55","126.91","124.75","125.34","3,733,430"
06/27/2022,"124.95","125.52","124.05","124.77","4,625,299"
06/24/2022,"124.00","124.91","123.56","124.34","2,823,624"
06/23/2022,"125.01","125.29","122.36","123.35","3,512,244"
06/22/2022,"125.00","126.00","124.54","125.23","2,669,316"
06/21/2022,"126.41","126.99","126.01","126.38","2,864,992"
06/20/2022,"125.29","126.26","124.77","125.97","843,233"
06/17/2022,"124.87","125.88","124.03","124.53","6,648,702"
06/16/2022,"125.00","125.45","123.30","124.77","2,379,722"
06/15/2022,"126.44","127.74","125.37","126.58","5,859,035"
06/14/2022,"127.00","127.30","125.06","126.01","2,545,688"
06/13/2022,"126.42","127.31","126.01","126.68","2,783,167"
06/10/2022,"129.48","129.70","127.82","128.55","2,035,329"
06/09/2022,"131.76","132.43","130.84","130.93","1,344,913"
06/08/2022,"132.99","133.00","131.16","131.87","2,741,771"
06/07/2022,"132.06","133.34","131.90","133.09","1,710,499"
06/06/2022,"132.70","133.55","132.11","132.49","2,368,866"
06/03/2022,"132.24","132.50","131.70","131.95","2,126,565"
06/02/2022,"132.45","133.21","131.73","132.87","1,542,633"
06/01/2022,"132.78","133.38","131.89","132.45","1,975,766"
05/31/2022,"131.17","132.66","130.66","132.17","4,224,098"
05/30/2022,"131.10","132.66","130.90","132.10","598,794"
05/27/2022,"129.25","131.62","128.85","130.95","2,647,072"
05/26/2022,"129.00","129.36","127.84","128.54","1,899,894"
05/25/2022,"128.84","129.42","128.03","128.55","2,197,495"
05/24/2022,"129.50","129.54","127.51","128.62","2,712,315"
05/20/2022,"127.99","128.22","125.68","127.25","2,369,405"
05/19/2022,"125.00","127.91","124.59","126.98","2,895,882"
05/18/2022,"126.61","126.91","125.26","125.97","7,991,615"
05/17/2022,"128.27","128.89","126.62","127.22","3,126,834"
05/16/2022,"126.83","127.43","125.64","126.89","2,720,474"
05/13/2022,"126.11","127.07","125.80","126.62","3,354,902"
05/12/2022,"125.59","126.13","124.22","125.34","3,375,027"
05/11/2022,"126.00","128.15","125.55","126.39","5,096,959"
